fold,actual,predicted,absolute_error,geo_distance_km,environment_distance,support
1,5.340388,5.981054359999999,0.6406663599999991,40.25651824917449,1.3020858247906932,Caution
1,6.394891,5.981054359999999,0.4138366400000013,40.212932806763234,1.3019186001022938,Caution
1,1.000613,3.5989683733333315,2.5983553733333316,43.509818403544614,1.0319299140569045,Supported
1,0.94372,0.9421260966666661,0.0015939033333338681,111.48514607775482,1.7720467409742837,Extrapolation
1,0.887413,0.739686916666666,0.14772608333333404,144.95221214487347,0.6841289967745912,Caution
1,0.465907,0.9086527400000002,0.44274574000000017,212.96114461943804,3.066784483681549,Extrapolation
1,0.934387,1.1471368583333335,0.21274985833333349,232.17301275869983,3.7408241049701605,Extrapolation
1,0.63396,1.4103715950000018,0.7764115950000018,187.98932706820568,2.0890492608340474,Extrapolation
1,0.654547,1.7762482000000008,1.1217012000000008,111.10453658811294,4.487941278866163,Extrapolation
1,0.486787,2.2029250900000013,1.7161380900000012,133.99224468473827,3.717274871715099,Extrapolation
1,1.65324,3.570800267222223,1.9175602672222232,44.82664685482325,1.405923057962509,Caution
1,2.097955,3.5739420505555564,1.4759870505555566,40.641028894523814,1.4046861597288458,Caution
1,1.559172,3.5904060038888908,2.0312340038888905,36.541986044982735,1.4034860424441724,Caution
1,6.183973,5.156246163333344,1.0277268366666563,105.84690128941742,1.319090004834141,Caution
1,10.22576,16.32812143666666,6.10236143666666,119.81287440529834,1.4664534578697725,Caution
1,1.549515,10.096986059999999,8.54747106,26.024887523841073,0.9009747026787658,Supported
1,3.170803,7.441859433333335,4.271056433333335,29.969550640660877,0.8861685413386422,Supported
1,0.124107,11.197182866666672,11.073075866666672,41.63962771556478,2.1886438907761296,Extrapolation
1,2.213893,9.968886503333334,7.754993503333333,30.9233921578506,0.9092712881294773,Supported
1,3.184928,7.238703440000004,4.0537754400000034,29.810021057115232,0.8862379586159048,Supported
1,1.655169,9.95363282,8.298463819999998,36.31338000979475,0.913164739994958,Supported
1,3.357755,14.733035276666687,11.375280276666686,56.190871060197,0.8259299304892209,Supported
1,2.047425,4.313208006666667,2.2657830066666667,129.17117869278002,0.9288612557664917,Caution
1,3.956987,14.800925050000018,10.843938050000018,56.431626201450214,0.827388828966492,Supported
1,6.958142,4.2707053749999995,2.687436625,126.22122524933538,0.9218663730315293,Caution
1,3.3992,4.2707053749999995,0.8715053749999995,126.06746048956501,0.919758903185057,Caution
1,2.011274,1.9735824066666672,0.03769159333333261,3.1760243183486194,0.6664709746980623,Supported
1,4.643193,1.9643459966666674,2.678847003333333,5.954440762081041,0.6669402364932593,Supported
1,1.4459,1.9643459966666674,0.5184459966666675,9.434485760001332,0.6675610764928972,Supported
1,1.125328,1.903212176666666,0.777884176666666,14.38400904697274,0.6686953814053452,Supported
1,1.977825,2.760278750833335,0.7824537508333351,18.692810362657426,1.111588508155671,Supported
1,3.481081,2.27389660416667,1.20718439583333,22.98838026031236,0.9177010849069706,Supported
1,1.316889,2.2966537366666673,0.9797647366666673,71.79529922532623,1.3674993171112553,Caution
1,0.788529,2.184990816666666,1.3964618166666658,75.62531633510683,1.363641359661035,Caution
1,0.718984,2.174512723333333,1.455528723333333,80.56487756117555,1.3593671276802155,Caution
1,1.434491,2.221075389999999,0.7865843899999989,84.76343952946985,1.32195283393434,Caution
1,2.168122,2.222019156666666,0.053897156666665946,87.81850815644356,1.3110421641929622,Caution
1,2.183253,2.2303828433333326,0.04712984333333248,92.0064530927365,1.6025462146190979,Caution
1,2.893381,2.2367740833333327,0.6566069166666675,95.8684726592031,1.598981237907551,Caution
1,5.809413,5.281851926666669,0.5275610733333309,136.46476345579387,1.2389935140783852,Caution
1,3.19434,4.084519792222223,0.8901797922222232,36.05375311827203,0.2556281105677609,Supported
1,1.37327,2.2367740833333327,0.8635040833333327,98.95985458009295,1.5964833417600972,Caution
1,5.533149,5.3680845700000015,0.16506442999999837,145.18943586676733,1.2549470392629682,Caution
1,1.808096,3.477184853888881,1.6690888538888813,35.93361747741551,0.2562936418754256,Supported
1,1.32478,1.9364797783333314,0.6116997783333313,102.63322671934563,2.290331534666908,Extrapolation
1,6.874532,6.24935136666667,0.6251806333333301,148.84184701553488,0.9782301742458398,Caution
1,5.022222,4.8571321750000065,0.1650898249999937,105.55640950801717,0.747737982590527,Caution
1,0.791407,1.0247682933333322,0.23336129333333222,193.21339462312443,1.2615022829645106,Caution
